Date;individuals
05.11.2017;428
06.11.2017;386
07.11.2017;0
08.11.2017;59
09.11.2017;10
10.11.2017;116
11.11.2017;12
12.11.2017;0
13.11.2017;59
14.11.2017;0
15.11.2017;18
16.11.2017;0
17.11.2017;0
18.11.2017;0
19.11.2017;0
20.11.2017;0
21.11.2017;43
22.11.2017;9
23.11.2017;364
24.11.2017;633
25.11.2017;698
26.11.2017;45
27.11.2017;426
28.11.2017;0
29.11.2017;0
30.11.2017;0
01.12.2017;77
02.12.2017;0
03.12.2017;0
04.12.2017;0
05.12.2017;0
06.12.2017;0
07.12.2017;21
08.12.2017;0
09.12.2017;78
10.12.2017;135
11.12.2017;76
12.12.2017;550
13.12.2017;0
14.12.2017;44
15.12.2017;102
16.12.2017;407
17.12.2017;0
18.12.2017;321
19.12.2017;0
20.12.2017;21
21.12.2017;0
22.12.2017;0
23.12.2017;0
24.12.2017;0
25.12.2017;0
26.12.2017;0
27.12.2017;0
28.12.2017;375
29.12.2017;0
30.12.2017;0
31.12.2017;120
01.01.2018;0
02.01.2018;0
03.01.2018;333
04.01.2018;0
05.01.2018;0
06.01.2018;0
07.01.2018;33
08.01.2018;86
09.01.2018;27
10.01.2018;97
11.01.2018;263
12.01.2018;0
13.01.2018;0
14.01.2018;0
15.01.2018;155
16.01.2018;19
17.01.2018;85
18.01.2018;716
19.01.2018;516
20.01.2018;401
21.01.2018;0
22.01.2018;0
23.01.2018;0
24.01.2018;0
25.01.2018;0
26.01.2018;0
27.01.2018;0
28.01.2018;446
29.01.2018;303
30.01.2018;493
31.01.2018;154
01.02.2018;387
02.02.2018;0
03.02.2018;0
04.02.2018;157
05.02.2018;0
06.02.2018;0
07.02.2018;0
08.02.2018;0
09.02.2018;0
10.02.2018;0
11.02.2018;0
12.02.2018;0
13.02.2018;0
14.02.2018;0
15.02.2018;0
16.02.2018;0
17.02.2018;125
18.02.2018;0
19.02.2018;385
20.02.2018;0
21.02.2018;0
22.02.2018;0
23.02.2018;0
24.02.2018;0
25.02.2018;0
26.02.2018;0
27.02.2018;0
28.02.2018;0
01.03.2018;0
02.03.2018;0
03.03.2018;84
04.03.2018;0
05.03.2018;0
06.03.2018;72
07.03.2018;51
08.03.2018;0
09.03.2018;89
10.03.2018;23
11.03.2018;2
12.03.2018;373
13.03.2018;0
14.03.2018;0
15.03.2018;7
16.03.2018;0
17.03.2018;216
18.03.2018;0
19.03.2018;0
20.03.2018;0
21.03.2018;0
22.03.2018;0
23.03.2018;0
24.03.2018;0
25.03.2018;0
26.03.2018;0
27.03.2018;0
28.03.2018;0
29.03.2018;0
30.03.2018;0
31.03.2018;132
01.04.2018;0
02.04.2018;364
03.04.2018;24
04.04.2018;0
05.04.2018;0
06.04.2018;39
07.04.2018;123
08.04.2018;0
09.04.2018;48
10.04.2018;0
11.04.2018;0
12.04.2018;0
13.04.2018;0
14.04.2018;495
15.04.2018;55
16.04.2018;49
17.04.2018;0
18.04.2018;46
19.04.2018;0
20.04.2018;3
21.04.2018;51
22.04.2018;158
23.04.2018;552
24.04.2018;564
25.04.2018;139
26.04.2018;50
27.04.2018;299
28.04.2018;0
29.04.2018;0
30.04.2018;48
01.05.2018;0
02.05.2018;0
03.05.2018;0
04.05.2018;7
05.05.2018;36
06.05.2018;58
07.05.2018;82
